"Date","Open","High","Low","Close","Volume"
"06/03/2021","601.8","604.55","571.22","572.84","30,111,890"
"06/02/2021","620.13","623.36","599.14","605.12","23,302,780"
"06/01/2021","627.8","633.8","620.55","623.9","18,084,890"
"05/28/2021","628.5","635.59","622.38","625.22","22,737,040"
"05/27/2021","620.24","631.13","616.21","630.85","26,370,590"
"05/26/2021","607.56","626.17","601.5","619.13","28,639,310"
"05/25/2021","607.31","613.99","595.71","604.69","28,005,930"
"05/24/2021","581.6","614.48","573.65","606.44","34,558,090"
"05/21/2021","596.11","596.68","580","580.88","26,030,600"
"05/20/2021","575","588.85","571.07","586.78","30,821,120"
"05/19/2021","552.55","566.21","546.98","563.46","39,578,400"
"05/18/2021","568","596.25","563.38","577.87","36,830,570"
"05/17/2021","575.553","589.73","561.2","576.83","32,247,800"
"05/14/2021","583.41","592.87","570.46","589.74","33,370,860"
"05/13/2021","601.545","606.4599","559.65","571.69","44,184,920"
"05/12/2021","602.49","620.41","586.765","589.89","33,823,650"
"05/11/2021","599.24","627.0999","595.6","617.2","46,503,900"
"05/10/2021","664.9","665.05","627.6101","629.04","31,392,420"
"05/07/2021","665.8","690","660.22","672.37","23,469,170"
"05/06/2021","680.76","681.02","650","663.54","27,784,620"
"05/05/2021","681.06","685.2955","667.34","670.94","21,901,890"
"05/04/2021","678.94","683.4464","657.701","673.6","29,739,320"
"05/03/2021","703.8","706","680.5","684.9","27,043,140"
"04/30/2021","667.59","715.47","666.14","709.44","40,758,720"
"04/29/2021","699.51","702.25","668.5002","677","28,845,450"
"04/28/2021","696.41","708.5","693.6","694.4","22,271,050"
"04/27/2021","717.96","724","703.3501","704.74","29,437,000"
"04/26/2021","741","749.3","732.6053","738.2","31,038,500"
"04/23/2021","719.8","737.36","715.46","729.4","28,413,890"
"04/22/2021","741.5","753.77","718.04","719.69","35,590,260"
"04/21/2021","704.77","744.84","698","744.12","31,215,510"
"04/20/2021","717.42","737.25","710.685","718.99","35,609,040"
"04/19/2021","719.6","725.4","691.8001","714.63","39,686,230"
"04/16/2021","728.65","749.41","724.6","739.78","27,979,530"
"04/15/2021","743.1","743.69","721.31","738.85","27,848,900"
"04/14/2021","770.7","780.79","728.03","732.23","49,017,430"
"04/13/2021","712.7","763","710.66","762.32","44,652,810"
"04/12/2021","685.7","704.8","682.09","701.98","29,135,670"
"04/09/2021","677.77","680.97","669.43","677.02","21,437,090"
"04/08/2021","677.38","689.5499","671.645","683.8","23,924,330"
"04/07/2021","687","691.38","667.84","670.97","26,309,430"
"04/06/2021","690.3","696.55","681.37","691.62","28,271,840"
"04/05/2021","707.71","708.16","684.7","691.05","41,842,770"
"04/01/2021","688.37","692.4203","659.42","661.75","35,298,380"
"03/31/2021","646.62","672","641.11","667.93","33,337,290"
"03/30/2021","601.75","637.66","591.01","635.62","39,432,360"
"03/29/2021","615.64","616.48","596.02","611.29","28,636,990"
"03/26/2021","641.87","643.82","599.89","618.71","33,852,830"
"03/25/2021","613","645.5","609.5","640.39","39,224,850"
"03/24/2021","667.91","668.02","630.11","630.27","33,795,170"
"03/23/2021","675.77","677.8","657.51","662.16","30,491,870"
"03/22/2021","684.59","699.62","668.75","670","39,512,220"
"03/19/2021","646.6","657.23","624.6201","654.87","42,893,980"
"03/18/2021","684.29","689.23","652","653.16","33,369,020"
"03/17/2021","656.87","703.73","651.01","701.81","40,372,450"
"03/16/2021","703.35","707.92","671","676.88","32,195,670"
"03/15/2021","694.09","713.18","684.04","707.94","29,423,480"
"03/12/2021","670","694.88","666.1394","693.73","33,583,840"
"03/11/2021","699.4","702.5","677.18","699.6","36,253,890"
"03/10/2021","700.3","717.85","655.06","668.06","60,605,670"
"03/09/2021","608.18","678.09","595.21","673.58","67,523,330"
"03/08/2021","600.55","620.125","558.79","563","51,786,960"
"03/05/2021","626.06","627.8419","539.49","597.95","89,396,460"
"03/04/2021","655.8","873.94","600","621.44","65,919,530"
"03/03/2021","687.99","700.7","651.705","653.2","30,207,960"
"03/02/2021","718.28","721.11","685","686.44","23,732,160"
"03/01/2021","690.11","872","685.05","718.43","27,136,240"
"02/26/2021","700","706.7","659.51","675.5","41,089,170"
"02/25/2021","726.15","737.2066","670.58","682.22","39,023,860"
"02/24/2021","711.85","745","694.17","742.02","36,766,950"
"02/23/2021","662.13","713.6099","619","698.84","66,606,880"
"02/22/2021","762.64","768.5","710.2","714.5","37,269,720"
"02/19/2021","795","796.7899","777.37","781.3","18,958,260"
"02/18/2021","780.9","794.69","776.27","787.38","17,957,060"
"02/17/2021","779.09","799.84","762.01","798.15","26,078,900"
"02/16/2021","818","821","792.44","796.22","19,802,320"
"02/12/2021","801.26","817.33","785.3306","816.12","23,768,310"
"02/11/2021","812.44","829.8799","801.725","811.66","21,622,750"
"02/10/2021","843.635","844.82","800.02","804.82","36,216,090"
"02/09/2021","855.12","859.8","841.75","849.46","15,157,650"
"02/08/2021","869.67","877.77","854.75","863.42","20,161,720"
"02/05/2021","845","864.77","838.97","852.23","18,566,640"
"02/04/2021","855","856.5","833.42","849.99","15,812,660"
"02/03/2021","877.02","878.08","853.0646","854.69","18,343,510"
"02/02/2021","844.68","880.5","842.2006","872.79","24,346,210"
"02/01/2021","814.29","842","795.5601","839.81","25,391,390"
"01/29/2021","830","842.41","780.1","793.53","34,990,750"
"01/28/2021","820","848","801","835.43","26,378,050"
"01/27/2021","870.35","891.5","858.66","864.16","27,333,960"
"01/26/2021","891.38","895.9","871.6","883.09","23,131,600"
"01/25/2021","855","900.4","838.8201","880.8","41,173,400"
"01/22/2021","834.31","848","828.62","846.64","20,066,500"
"01/21/2021","855","855.7199","841.4201","844.99","20,598,130"
"01/20/2021","858.74","859.5","837.28","850.45","25,665,880"
"01/19/2021","837.8","850","833","844.55","25,366,980"
"01/15/2021","852","859.9","819.1","826.16","38,777,600"
"01/14/2021","843.39","863","838.75","845","31,266,330"
"01/13/2021","852.76","860.47","832","854.41","33,312,500"
"01/12/2021","831","868","827.34","849.44","46,270,720"
"01/11/2021","849.4","854.43","803.6222","811.19","59,554,150"
"01/08/2021","856","884.49","838.39","880.02","75,055,530"
"01/07/2021","777.63","816.99","775.2","816.04","51,498,950"
"01/06/2021","758.49","774","749.1","755.98","44,699,970"
"01/05/2021","723.66","740.84","719.2","735.11","32,245,170"
"01/04/2021","719.46","744.4899","717.1895","729.77","48,638,190"
"12/31/2020","699.99","718.72","691.12","705.67","49,649,930"
"12/30/2020","672","696.6","668.3603","694.78","42,846,020"
"12/29/2020","661","669.9","655","665.99","22,910,810"
"12/28/2020","674.51","681.4","660.8","663.69","32,278,560"
"12/24/2020","642.99","666.09","641","661.77","22,865,570"
"12/23/2020","632.2","651.4999","622.5701","645.98","33,172,970"
"12/22/2020","648","649.88","614.23","640.34","51,861,640"
"12/21/2020","666.24","668.5","646.07","649.86","58,045,260"
"12/18/2020","668.9","695","628.54","695","222,126,200"
"12/17/2020","628.19","658.82","619.5","655.9","56,270,140"
"12/16/2020","628.23","632.5","605","622.77","42,095,810"
"12/15/2020","643.28","646.9","623.8","633.25","45,223,560"
"12/14/2020","619","642.7499","610.2001","639.83","52,040,650"
"12/11/2020","615.01","624","596.8","609.99","46,474,970"
"12/10/2020","574.37","627.75","566.34","627.07","67,083,150"
"12/09/2020","653.69","654.32","588","604.48","71,291,190"
"12/08/2020","625.505","651.28","618.5","649.88","64,265,030"
"12/07/2020","604.9197","648.7856","603.05","641.76","56,309,710"
"12/04/2020","591.01","599.04","585.5","599.04","29,401,310"
"12/03/2020","590.02","598.97","582.43","593.38","42,552,000"
"12/02/2020","556.44","571.54","541.21","568.82","47,775,650"
"12/01/2020","597.59","597.85","572.05","584.76","40,382,830"
"11/30/2020","602.21","607.8","554.51","567.6","63,003,050"
"11/27/2020","581.16","598.78","578.45","585.76","37,561,080"
"11/25/2020","550.06","574","545.37","574","48,930,160"
"11/24/2020","540.4","559.99","526.2","555.38","53,648,490"
"11/23/2020","503.5","526","501.79","521.85","50,260,300"
"11/20/2020","497.99","502.5","489.06","489.61","32,911,920"
"11/19/2020","492","508.6112","487.57","499.27","62,475,350"
"11/18/2020","448.35","496","443.5001","486.64","78,044,020"
"11/17/2020","460.17","462","433.01","441.61","61,188,280"
"11/16/2020","408.93","412.45","404.0868","408.09","26,838,640"
"11/13/2020","410.85","412.5319","401.66","408.5","19,830,350"
"11/12/2020","415.05","423","409.52","411.76","19,940,500"
"11/11/2020","416.45","418.695","410.58","417.13","17,357,720"
"11/10/2020","420.09","420.09","396.0301","410.36","30,284,220"
"11/09/2020","439.5","452.5","421","421.26","34,833,030"
"11/06/2020","436.1","436.57","424.28","429.95","21,706,010"
"11/05/2020","428.3","440","424.0001","438.09","28,414,520"
"11/04/2020","430.62","435.4","417.1","420.98","32,143,060"
"11/03/2020","409.73","427.77","406.69","423.9","34,351,720"
"11/02/2020","394","406.9799","392.3","400.51","29,021,120"
"10/30/2020","406.8954","407.5915","379.11","388.04","42,587,640"
"10/29/2020","409.96","418.06","406.46","410.83","22,655,310"
"10/28/2020","416.48","418.6","406","406.02","25,451,410"
"10/27/2020","423.76","430.5","420.1","424.68","22,686,510"
"10/26/2020","411.63","425.76","410","420.28","28,239,160"
"10/23/2020","421.84","422.8859","407.3801","420.63","33,716,980"
"10/22/2020","441.92","445.23","424.51","425.79","39,993,190"
"10/21/2020","422.7","432.95","421.25","422.64","32,370,460"
"10/20/2020","431.75","431.75","419.0501","421.94","31,656,290"
"10/19/2020","446.24","447","428.87","430.83","36,287,840"
"10/16/2020","454.44","455.9499","438.85","439.67","32,775,880"
"10/15/2020","450.31","456.57","442.5","448.88","35,672,350"
"10/14/2020","449.78","465.9","447.35","461.3","48,045,390"
"10/13/2020","443.35","448.89","436.6","446.65","34,463,670"
"10/12/2020","442","448.74","438.58","442.3","38,791,130"
"10/09/2020","430.13","434.5899","426.4601","434","28,925,660"
"10/08/2020","438.44","439","425.3","425.92","40,421,120"
"10/07/2020","419.87","429.9","413.845","425.3","43,127,710"
"10/06/2020","423.79","428.7799","406.05","413.98","49,146,260"
"10/05/2020","423.35","433.64","419.33","425.68","44,722,790"
"10/02/2020","421.39","439.13","415","415.09","71,430,030"
"10/01/2020","440.76","448.88","434.42","448.16","50,741,450"
"09/30/2020","421.32","433.93","420.47","429.01","48,145,570"
"09/29/2020","416","428.5","411.6","419.07","50,341,400"
"09/28/2020","424.62","428.08","415.55","421.2","49,719,560"
"09/25/2020","393.47","408.7323","391.3","407.34","67,208,460"
"09/24/2020","363.8","399.5","351.3","387.79","96,561,060"
"09/23/2020","405.16","412.15","375.8801","380.36","95,074,180"
"09/22/2020","429.6","437.76","417.6001","424.23","79,580,800"
"09/21/2020","453.13","455.68","407.07","449.39","109,476,800"
"09/18/2020","447.94","451","428.8","442.15","86,406,820"
"09/17/2020","415.6","437.79","408.0001","423.43","76,779,160"
"09/16/2020","439.87","457.79","435.31","441.76","72,546,760"
"09/15/2020","436.56","461.94","430.7","449.76","97,298,230"
"09/14/2020","380.95","420","373.3","419.62","83,020,610"
"09/11/2020","381.94","382.5","360.5","372.72","60,717,460"
"09/10/2020","386.21","398.99","360.56","371.34","84,930,610"
"09/09/2020","356.6","369","341.51","366.28","79,465,770"
"09/08/2020","356","368.74","329.88","330.21","115,465,700"
"09/04/2020","402.81","428","372.0201","418.32","110,321,900"
"09/03/2020","407.23","431.8","402","407","87,596,090"
"09/02/2020","478.99","479.04","405.1206","447.37","96,176,130"
"09/01/2020","502.14","502.49","470.51","475.05","90,119,420"
"08/31/2020","444.61","500.14","440.11","498.32","118,374,400"
"08/28/2020","459.024","463.698","437.304","442.68","100,405,900"
"08/27/2020","436.092","459.12","428.5","447.75","118,465,200"
"08/26/2020","412","433.2","410.7258","430.634","71,196,900"
"08/25/2020","394.978","405.59","393.6","404.668","53,294,450"
"08/24/2020","425.255","425.8","385.504","402.84","100,318,100"
"08/21/2020","408.952","419.098","405.01","409.996","107,447,800"
"08/20/2020","372.136","404.398","371.412","400.366","103,059,000"
"08/19/2020","373","382.2","368.242","375.706","61,026,650"
"08/18/2020","379.798","384.78","369.022","377.418","82,372,450"
"08/17/2020","335.4","369.172","334.566","367.128","101,211,600"
"08/14/2020","332.998","333.76","325.328","330.142","62,888,050"
"08/13/2020","322.2","330.236","313.452","324.2","102,126,550"
"08/12/2020","294","317","287","310.952","109,494,150"
"08/11/2020","279.2","284","273","274.878","43,129,170"
"08/10/2020","289.6","291.5","277.168","283.714","37,611,320"
"08/07/2020","299.9074","299.95","283.002","290.542","44,482,100"
"08/06/2020","298.166","303.462","295.452","297.916","29,961,565"
"08/05/2020","298.598","299.9677","293.662","297.004","24,890,075"
"08/04/2020","299.002","305.482","292.4","297.4","42,074,950"
"08/03/2020","289.84","301.962","288.8769","297","44,046,730"
"07/31/2020","303","303.41","284.196","286.152","61,234,800"
"07/30/2020","297.6","302.648","294.2","297.498","38,105,195"
"07/29/2020","300.2","306.962","297.4","299.822","47,134,465"
"07/28/2020","300.8","312.94","294.884","295.298","79,043,500"
"07/27/2020","287","309.588","282.6001","307.92","80,243,350"
"07/24/2020","283.202","293","273.308","283.4","96,983,100"
"07/23/2020","335.79","337.8","296.154","302.614","121,642,500"
"07/22/2020","319.8","325.284","312.4","318.466","70,805,400"
"07/21/2020","327.986","335","311.6","313.672","80,786,400"
"07/20/2020","303.802","330","297.6","328.6","85,606,850"
"07/17/2020","302.69","307.502","298","300.168","46,649,860"
"07/16/2020","295.432","306.342","293.2","300.128","71,503,950"
"07/15/2020","308.6","310","291.4","309.202","81,839,150"
"07/14/2020","311.2","318","286.2","303.36","117,090,700"
"07/13/2020","331.8","358.998","294.222","299.412","194,926,800"
"07/10/2020","279.2","309.783","275.202","308.93","116,687,750"
"07/09/2020","279.398","281.712","270.256","278.856","58,588,000"
"07/08/2020","281","283.452","262.268","273.176","81,556,550"
"07/07/2020","281.002","285.9","267.342","277.972","107,448,300"
"07/06/2020","255.338","275.558","253.2088","274.316","102,849,300"
"07/02/2020","244.296","245.6","237.12","241.732","86,250,600"
"07/01/2020","216.6","227.066","216.1","223.926","66,634,500"
"06/30/2020","201.3","217.538","200.746","215.962","84,592,500"
"06/29/2020","193.802","202","189.704","201.87","45,132,020"
"06/26/2020","198.956","199","190.974","191.948","44,274,540"
"06/25/2020","190.854","197.196","187.43","197.196","46,272,745"
"06/24/2020","198.822","200.1769","190.6283","192.17","54,797,950"
"06/23/2020","199.776","202.4","198.802","200.356","31,826,355"
"06/22/2020","199.99","201.776","198.004","198.864","31,811,750"
"06/19/2020","202.556","203.194","198.268","200.18","43,398,745"
"06/18/2020","200.6","203.84","198.8942","200.792","48,759,680"
"06/17/2020","197.542","201","196.5142","198.358","49,454,000"
"06/16/2020","202.37","202.576","192.478","196.426","70,255,400"
"06/15/2020","183.558","199.768","181.7","198.18","78,485,900"
"06/12/2020","196","197.596","182.52","187.056","83,816,850"
"06/11/2020","198.04","203.792","194.4","194.568","79,582,400"
"06/10/2020","198.376","205.496","196.5","205.01","92,817,050"
"06/09/2020","188.002","190.888","184.7862","188.134","56,940,750"
"06/08/2020","183.8","190","181.832","189.984","70,873,650"
"06/05/2020","175.568","177.304","173.24","177.132","39,059,585"
"06/04/2020","177.976","179.15","171.688","172.876","44,438,565"
"06/03/2020","177.624","179.588","176.02","176.592","39,747,345"
"06/02/2020","178.94","181.732","174.2","176.312","67,828,000"
"06/01/2020","171.6","179.8","170.82","179.62","75,426,500"
"05/29/2020","161.75","167","160.842","167","59,062,450"
"05/28/2020","162.702","164.95","160.338","161.162","36,378,870"
"05/27/2020","164.172","165.542","157","164.046","57,747,650"
"05/26/2020","166.9","166.92","163.141","163.774","40,448,680"
"05/22/2020","164.4348","166.356","162.4","163.376","49,937,375"
"05/21/2020","163.2","166.5","159.2","165.52","61,272,900"
"05/20/2020","164.1","165.2","162.36","163.112","36,546,355"
"05/19/2020","163.034","164.414","161.216","161.602","48,182,610"
"05/18/2020","165.556","166.944","160.776","162.726","58,490,500"
"05/15/2020","158.07","161.0097","157.3104","159.834","52,592,150"
"05/14/2020","156","160.672","152.8","160.666","68,410,950"
"05/13/2020","164.166","165.2","152.66","158.192","95,327,450"
"05/12/2020","165.4","168.658","161.6","161.882","79,534,550"
"05/11/2020","158.102","164.8","157","162.258","82,598,000"
"05/08/2020","158.754","164.8","157.402","163.884","80,650,450"
"05/07/2020","155.442","159.28","154.47","156.008","57,638,450"
"05/06/2020","155.3","157.96","152.222","156.516","55,616,150"
"05/05/2020","157.958","159.784","152.436","153.642","84,958,300"
"05/04/2020","140.2","152.4","139.6","152.238","96,185,450"
"05/01/2020","151","154.554","136.608","140.264","162,659,050"
"04/30/2020","171.038","173.964","152.7","156.376","142,359,250"
"04/29/2020","158.034","160.64","156.632","160.102","81,079,900"
"04/28/2020","159.128","161","151.338","153.824","76,109,800"
"04/27/2020","147.522","159.898","147","159.75","103,407,200"
"04/24/2020","142.162","146.146","139.636","145.03","66,188,050"
"04/23/2020","145.52","146.8","140.626","141.126","66,183,500"
"04/22/2020","140.796","146.8","137.742","146.422","71,124,150"
"04/21/2020","146.024","150.666","134.758","137.344","101,045,450"
"04/20/2020","146.54","153.114","142.442","149.272","73,731,850"
"04/17/2020","154.456","154.99","149.532","150.778","65,641,150"
"04/16/2020","143.388","151.89","141.343","149.042","103,289,300"
"04/15/2020","148.4","150.626","142","145.966","117,885,000"
"04/14/2020","139.794","148.376","138.486","141.978","152,882,550"
"04/13/2020","118.032","130.4","116.106","130.19","112,377,100"
"04/09/2020","112.418","115.0364","111.422","114.6","68,250,000"
"04/08/2020","110.84","111.4416","106.666","109.768","63,280,100"
"04/07/2020","109","113","106.468","109.09","89,598,900"
"04/06/2020","102.24","104.2","99.592","103.248","74,509,200"
"04/03/2020","101.9","103.098","93.678","96.002","112,810,400"
"04/02/2020","96.206","98.852","89.28","90.894","99,292,150"
"04/01/2020","100.8","102.791","95.02","96.312","66,765,900"
"03/31/2020","100.25","108.592","99.4","104.8","88,857,450"
"03/30/2020","102.052","103.3294","98.246","100.426","59,990,350"
"03/27/2020","101","105.16","98.806","102.872","71,887,050"
"03/26/2020","109.478","112","102.45","105.632","87,110,400"
"03/25/2020","109.05","111.4","102.222","107.85","106,113,750"
"03/24/2020","95.46","102.738","94.8","101","114,475,850"
"03/23/2020","86.72","88.4","82.1","86.858","82,272,750"
"03/20/2020","87.64","95.4","85.158","85.506","141,427,500"
"03/19/2020","74.9394","90.4","71.692","85.528","150,977,300"
"03/18/2020","77.8","80.972","70.102","72.244","118,930,800"
"03/17/2020","88.002","94.37","79.2","86.04","119,972,900"
"03/16/2020","93.8999","98.974","88.434","89.014","102,447,300"
